"hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests"
"City Hotel,1,1,2016,February,10,28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient-Party,60.0,0,0"
"City Hotel,0,27,2016,June,27,29,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,7,A,A,1,No Deposit,,40.0,0,Transient,65.0,0,1"
"City Hotel,1,16,2015,November,45,4,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,Non Refund,,122.0,0,Transient,95.0,0,0"
"Resort Hotel,0,231,2016,September,37,7,2,5,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,110.5,0,1"
"City Hotel,0,23,2015,October,41,7,0,2,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,101.0,0,1"
"City Hotel,1,139,2017,June,24,12,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,110.0,0,0"
"City Hotel,0,0,2017,April,15,15,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,73.05,0,2"
"City Hotel,0,174,2017,July,28,11,0,2,3,1.0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,174.75,0,0"
"Resort Hotel,0,17,2017,June,25,22,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,0,No Deposit,,331.0,0,Transient,75.0,0,0"
"Resort Hotel,0,10,2016,June,25,17,0,2,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,414.0,,0,Transient-Party,185.0,1,1"
"City Hotel,1,433,2016,September,37,8,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,70.0,0,0"
"City Hotel,0,57,2016,February,7,8,1,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,23.0,0,0"
"Resort Hotel,1,243,2015,September,36,4,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,240.0,,0,Transient-Party,99.0,0,1"
"Resort Hotel,0,23,2017,August,34,25,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,240.0,0,2"
"City Hotel,0,69,2015,October,44,25,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,58,Transient-Party,85.67,0,0"
"City Hotel,1,292,2015,August,32,5,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,60.0,0,0"
"City Hotel,0,20,2017,August,32,7,1,1,1,0.0,0,BB,BEL,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,140.8,0,0"
"City Hotel,1,229,2016,October,43,22,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,10.0,,0,Transient,80.75,0,0"
"Resort Hotel,1,71,2016,May,23,30,2,5,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,116.43,0,0"
"City Hotel,1,140,2017,August,33,19,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,155.0,0,1"
"City Hotel,1,136,2016,May,19,7,2,5,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,170.36,0,1"
"City Hotel,1,4,2016,April,16,15,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,85.0,0,0"
"Resort Hotel,0,310,2017,July,27,6,1,3,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,93.38,0,2"
"Resort Hotel,0,359,2016,October,41,7,2,7,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,D,1,No Deposit,,223.0,0,Transient-Party,67.78,0,1"
"City Hotel,1,186,2017,April,17,28,1,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,1"
"Resort Hotel,0,6,2016,April,16,14,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,50.0,0,0"
"City Hotel,1,103,2015,July,29,18,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0"
"City Hotel,1,350,2016,June,25,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0"
"Resort Hotel,0,231,2016,August,36,31,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Transient,99.32,0,1"
"City Hotel,0,14,2017,February,5,2,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,2,No Deposit,,396.0,0,Transient-Party,80.0,0,0"
"City Hotel,0,4,2017,January,4,24,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,420.0,0,Transient,89.0,1,0"
"City Hotel,0,57,2016,June,24,10,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,90.67,0,1"
"City Hotel,0,208,2017,May,21,24,0,2,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,91.5,0,0"
"Resort Hotel,1,168,2016,April,16,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,245.0,,0,Transient,86.0,0,0"
"City Hotel,0,63,2015,September,36,4,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,21.0,,0,Transient-Party,116.0,0,0"
"City Hotel,1,0,2016,February,7,10,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.0,0,0"
"City Hotel,1,177,2016,May,20,8,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3.0,,0,Transient,121.0,0,0"
"City Hotel,0,145,2016,March,12,19,2,1,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,60.98,0,0"
"Resort Hotel,0,1,2016,January,5,30,0,1,2,0.0,1,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,45.0,0,1"
"City Hotel,1,21,2016,September,39,19,1,0,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,164.0,0,1"
"Resort Hotel,0,252,2017,April,16,22,2,5,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,3,No Deposit,273.0,,0,Transient-Party,47.44,0,0"
"City Hotel,0,0,2015,July,30,24,0,2,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,D,F,0,No Deposit,,,0,Transient,0.0,0,1"
"Resort Hotel,0,171,2016,April,15,4,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,Non Refund,298.0,,0,Transient-Party,85.0,0,0"
"Resort Hotel,0,364,2016,October,42,12,1,4,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,E,2,No Deposit,,223.0,0,Transient-Party,86.0,0,0"
"Resort Hotel,0,0,2016,May,23,29,1,0,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,,0,Group,46.0,0,0"
"City Hotel,0,52,2016,October,44,28,1,2,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7.0,,0,Transient,192.59,0,1"
"City Hotel,0,19,2016,November,48,26,4,7,0,0.0,0,SC,USA,Online TA,TA/TO,0,0,1,A,K,4,No Deposit,11.0,,0,Group,6.4,0,0"
"City Hotel,1,149,2016,August,33,12,1,2,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.5,0,0"
"City Hotel,1,239,2015,October,42,17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0"
"Resort Hotel,1,10,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient-Party,202.0,0,0"
"City Hotel,0,0,2016,August,33,10,0,3,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,130.9,0,1"
"City Hotel,0,19,2016,March,12,14,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,60.83,0,1"
"Resort Hotel,0,236,2016,July,30,17,2,5,3,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,H,H,1,No Deposit,240.0,,0,Transient,210.0,0,2"
"City Hotel,0,35,2016,April,18,30,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,1"
"City Hotel,1,249,2016,October,44,28,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.3,0,0"
"City Hotel,1,21,2017,May,18,1,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,169.0,0,1"
"City Hotel,1,0,2016,December,53,28,0,1,2,2.0,1,BB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,14.0,,0,Transient,198.0,0,3"
"Resort Hotel,0,52,2015,July,27,4,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147.0,,0,Transient,67.24,0,0"
"City Hotel,1,226,2017,July,28,9,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0"
"City Hotel,0,81,2016,May,21,15,2,0,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,B,0,No Deposit,133.0,,0,Transient-Party,90.0,0,1"
"City Hotel,0,1,2015,August,33,12,0,2,1,2.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,B,B,2,No Deposit,20.0,,0,Transient,0.0,0,4"
"Resort Hotel,1,16,2016,September,39,21,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,3,2,E,E,0,No Deposit,,331.0,0,Transient,139.0,0,0"
"Resort Hotel,1,211,2016,September,37,7,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,0,Non Refund,1.0,,0,Transient,89.0,0,0"
"City Hotel,0,265,2016,August,32,3,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,72.25,0,0"
"Resort Hotel,1,301,2016,July,27,1,2,7,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,108.0,0,2"
"City Hotel,0,11,2016,October,44,29,2,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,2"
"City Hotel,0,27,2016,September,39,20,0,1,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,95.0,0,0"
"City Hotel,1,102,2015,October,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0"
"City Hotel,1,162,2017,April,13,1,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296.0,,0,Transient-Party,98.0,0,0"
"City Hotel,1,31,2016,March,10,1,0,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,106.4,0,1"
"City Hotel,0,146,2015,December,53,29,0,3,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,99,Transient-Party,75.0,0,0"
"City Hotel,1,241,2016,September,36,2,2,2,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,101.79,0,1"
"City Hotel,1,14,2016,February,8,18,0,2,1,0.0,0,BB,IDN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.0,0,0"
"City Hotel,1,142,2016,April,17,22,2,3,1,0.0,0,BB,POL,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,89.0,0,0"
"City Hotel,1,113,2016,May,23,31,0,3,1,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,Non Refund,,202.0,0,Transient,100.0,0,0"
"City Hotel,1,315,2017,July,27,5,2,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,E,3,No Deposit,9.0,,0,Transient,141.83,0,2"
"Resort Hotel,0,131,2017,March,10,11,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,66.72,0,2"
"Resort Hotel,1,3,2016,October,44,28,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,36.0,0,0"
"Resort Hotel,1,23,2016,August,33,12,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,219.0,0,1"
"Resort Hotel,1,87,2016,July,32,31,2,0,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,199.0,0,0"
"City Hotel,0,0,2016,December,50,8,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,105.0,0,0"
"City Hotel,0,215,2016,November,48,21,1,1,1,0.0,0,BB,FRA,Groups,Corporate,0,0,0,A,D,0,No Deposit,,233.0,0,Transient,75.0,0,0"
"Resort Hotel,1,77,2017,June,24,17,2,5,2,2.0,0,Undefined,USA,Direct,Direct,0,0,0,G,G,1,No Deposit,250.0,,0,Transient,311.0,0,2"
"Resort Hotel,0,321,2017,May,22,29,2,5,2,1.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,77.88,1,1"
"Resort Hotel,1,330,2017,June,25,19,3,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,74.25,0,0"
"Resort Hotel,0,31,2016,December,53,30,0,2,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,325.0,0,1"
"Resort Hotel,0,8,2016,February,9,27,1,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,55.44,0,1"
"City Hotel,0,22,2017,February,6,9,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0"
"City Hotel,1,150,2017,June,24,17,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,120.0,0,0"
"City Hotel,0,73,2017,August,31,2,2,6,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,145.0,0,0"
"City Hotel,0,0,2016,October,42,13,0,1,1,0.0,0,SC,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,1"
"City Hotel,0,73,2017,February,7,17,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,68.47,0,1"
"City Hotel,1,601,2017,March,9,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0"
"City Hotel,1,101,2017,August,31,3,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,112.5,0,2"
"City Hotel,0,19,2017,May,20,20,1,1,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,155.0,0,1"
"City Hotel,0,0,2016,September,37,9,0,1,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,0.0,1,1"
"City Hotel,0,4,2016,March,14,27,2,1,2,2.0,0,BB,UKR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,194.33,0,2"
"City Hotel,1,161,2017,May,18,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,,0,Transient,120.0,0,0"
"City Hotel,0,46,2016,April,17,21,0,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,1"
"Resort Hotel,0,218,2016,July,32,31,2,3,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,36.0,,0,Transient,117.19,0,0"
"Resort Hotel,0,15,2016,February,7,11,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,2,A,D,0,No Deposit,240.0,,0,Transient,49.0,0,2"
"City Hotel,1,53,2017,August,33,16,0,4,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,198.0,0,1"
"Resort Hotel,0,383,2016,October,41,6,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315.0,,0,Transient-Party,48.0,0,0"
"Resort Hotel,0,45,2017,April,14,3,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,68.33,0,1"
"City Hotel,0,93,2017,May,21,23,0,1,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7.0,,0,Transient,79.2,0,1"
"Resort Hotel,0,56,2015,October,42,12,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,42.3,0,2"
"Resort Hotel,1,180,2016,March,12,19,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,43.33,0,1"
"City Hotel,1,273,2016,May,20,13,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,95.0,0,0"
"Resort Hotel,1,139,2017,May,21,22,1,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,115.0,0,1"
"City Hotel,1,36,2016,December,50,8,0,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,0"
"Resort Hotel,0,4,2017,January,3,17,0,2,1,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,A,E,0,No Deposit,,,0,Transient-Party,55.0,0,0"
"Resort Hotel,1,163,2016,May,20,9,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,65.0,0,1"
"City Hotel,0,11,2016,April,16,15,0,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.0,0,0"
"City Hotel,1,114,2016,July,27,1,1,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,192.0,,0,Transient,75.0,0,0"
"City Hotel,0,180,2017,March,11,15,0,3,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,105.0,0,0"
"City Hotel,0,5,2016,November,47,13,2,3,1,0.0,0,BB,USA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,73.0,0,Transient-Party,84.0,0,0"
"Resort Hotel,1,112,2015,August,34,22,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,178.0,0,2"
"City Hotel,0,328,2016,September,40,30,0,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,38,Transient-Party,65.0,0,1"
"City Hotel,0,1,2015,September,37,7,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,14.0,,0,Transient,133.0,0,0"
"City Hotel,1,240,2017,July,30,23,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0"
"City Hotel,1,261,2015,October,42,16,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,120.0,0,0"
"City Hotel,0,0,2016,February,9,23,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,40.0,0,Transient-Party,66.0,0,0"
"City Hotel,1,21,2017,January,5,30,4,10,1,0.0,0,SC,DEU,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,,0,Transient,59.5,0,0"
"Resort Hotel,0,283,2015,October,42,12,2,5,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,E,E,0,No Deposit,273.0,,0,Transient-Party,77.29,0,0"
"City Hotel,1,143,2017,May,18,4,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,151.0,,0,Transient,100.0,0,0"
"City Hotel,1,186,2017,May,22,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,130.0,0,0"
"Resort Hotel,1,16,2017,April,17,29,1,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,111.0,0,0"
"City Hotel,0,151,2016,January,4,19,0,3,1,0.0,0,BB,BGR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,19.0,,63,Transient-Party,71.0,0,0"
"Resort Hotel,0,94,2017,February,7,13,1,3,3,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,152.0,,0,Transient-Party,88.0,0,0"
"Resort Hotel,1,342,2017,July,30,29,4,6,2,2.0,0,HB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,266.6,0,0"
"Resort Hotel,0,124,2016,June,26,21,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,122.86,0,2"
"City Hotel,0,6,2015,August,34,16,2,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,14.0,,0,Transient,90.0,0,1"
"City Hotel,0,108,2016,September,40,27,0,3,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,80.75,0,0"
"Resort Hotel,0,36,2015,November,47,20,0,2,2,0.0,0,FB,ESP,Groups,TA/TO,0,0,0,A,C,0,No Deposit,38.0,,0,Transient-Party,64.0,0,0"
"Resort Hotel,0,125,2017,January,5,30,3,9,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,55.8,0,0"
"City Hotel,0,41,2016,September,38,14,0,3,1,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,2,No Deposit,86.0,,0,Transient-Party,108.0,0,0"
"City Hotel,0,53,2016,April,16,13,1,4,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,140.75,1,0"
"Resort Hotel,0,32,2016,February,7,8,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,115.0,,0,Transient,33.3,0,0"
"Resort Hotel,0,51,2016,September,38,11,2,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,95.0,0,0"
"Resort Hotel,0,88,2017,January,4,22,2,5,2,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,66.8,0,0"
"City Hotel,0,9,2016,July,28,6,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.0,0,1"
"City Hotel,1,7,2016,June,24,8,0,1,1,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,92.65,0,0"
"City Hotel,0,144,2017,May,18,6,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52.0,,0,Transient-Party,90.0,0,1"
"City Hotel,1,45,2017,June,24,15,2,5,2,0.0,0,SC,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,137.14,0,1"
"City Hotel,1,344,2016,June,25,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0"
"Resort Hotel,1,288,2016,December,53,26,3,6,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,96.4,0,0"
"Resort Hotel,0,0,2016,August,33,7,0,0,2,0.0,0,BB,PRT,Direct,Direct,1,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0"
"City Hotel,0,99,2017,March,13,31,1,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,110.4,0,2"
"City Hotel,0,83,2016,June,24,10,1,2,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,210.6,0,2"
"Resort Hotel,0,212,2016,May,21,21,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Transient,74.76,0,1"
"City Hotel,0,38,2016,October,42,13,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,80.0,0,0"
"City Hotel,0,83,2016,November,45,3,1,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,92.0,0,1"
"City Hotel,1,151,2017,August,33,17,1,3,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,148.5,0,0"
"City Hotel,0,31,2016,May,20,10,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,0"
